Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
Engineering Building II,Engineering,Building II,890,Oval Dr.,35.77181833,-78.67373047,0000FRR224720827f0000033,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,26,RWedWaste1,73,RFriWaste2,51,,,,,,,,,,,,,,,,,,,,,,
Engineering Building II,Engineering,Building II,890,Oval Dr.,35.77181833,-78.67373047,0000FRR22478062920000057,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,66,RMonMR1,25,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Building III,Engineering,Building III,911,Oval Dr.,35.77110275,-78.67362671,0000FRR224720827f0000035,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Building III,Engineering,Building III,911,Oval Dr.,35.77110275,-78.67362671,0000FRR224720827f0000034,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,27,RWedWaste1,72,RFriWaste2,52,,,,,,,,,,,,,,,,,,,,,,
Engineering Building III,Engineering,Building III,911,Oval Dr.,35.77110275,-78.67362671,0000FRR2247806292000005a,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,68,RMonMR1,33,,,,,,,,,,,,,,,,,,,,,,,,
Entomology Lab,Entomology, Lab,1405,Varsity Dr.,35.77900317,-78.68306343,0000FRR2247208280000005b,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,73,,,,,,,,,,,,,,,,,,,,,,,,,,
Entomology Lab,Entomology, Lab,1405,Varsity Dr.,35.77900317,-78.68306343,0000FRR2247208280000005b,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrSpot1,87,,,,,,,,,,,,,,,,,,,,,,,,,,
Entomology Lab,Entomology, Lab,1405,Varsity Dr.,35.77900317,-78.68306343,0000FRR2247208280000005b,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrSpot1,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health And Safety,Environmental, Health And Safety,2620,Wolf Village Way,35.78532182,-78.68265326,0000FRR22478062930000095,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health And Safety,Environmental, Health And Safety,2620,Wolf Village Way,35.78532182,-78.68265326,0000FRR2247208280000005a,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,63,,,,,,,,,,,,,,,,,,,,,,,,,,
ES King Village,ES,King Village,3930,Jackson St.,35.78810411,-78.69074097,0000FRR2247806293000009a,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,40,RWedMR1,16,MIFriMR2,13,MIMonMR2,19,MISatMR1,19,MISatMR2,19,MISunMR1,19,MISunMR2,19,MIThrMR1,19,MIThrMR2,19,MITueMR1,19,MITueMR2,19,MIWedMR2,19,,
ES King Village,ES,King Village,3820,Jackson St.,35.78800014,-78.68878784,0000FRR2247208280000005c,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,47,RWedWaste1,46,RFriWaste2,73,RSatWaste2,108,RThrWaste1,49,RMonWaste2,44,MIFriW1,17,MIThrW2,19,MIFriW2,18,MIMonW1,18,MIMonW2,18,MISatW1,18,MISatW2,18,MISunW1,18
ES King Village,ES,King Village,3820,Jackson St.,35.78800014,-78.68878784,0000FRR22478062930000098,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,53,RWedMR1,15,RFriMR1,29,RFriMR1,30,MIFriMR2,12,MIMonMR2,18,MISatMR1,18,MISatMR2,18,MISunMR1,18,MISunMR2,18,MIThrMR1,18,MIThrMR2,18,MITueMR1,18,MITueMR2,18
ES King Village,ES,King Village,2931,Ligon St.,35.78844326,-78.68921814,0000FRR2247806293000009c,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,54,RWedMR1,17,RFriMR1,31,MIFriMR2,16,MIMonMR2,22,MISatMR1,22,MISatMR2,22,MISunMR1,22,MISunMR2,22,MIThrMR1,22,MIThrMR2,22,MITueMR1,22,MITueMR2,22,MIWedMR2,22
ES King Village,ES,King Village,3930,Jackson St.,35.78810411,-78.69074097,0000FRR2247208280000005d,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RFriWaste2,74,RSatWaste2,104,RTueWaste1,46,RWedWaste1,45,RThrWaste1,47,RMonWaste2,45,MIFriW1,18,MIThrW2,20,MIFriW2,19,MIMonW1,19,MIMonW2,19,MISatW1,19,MISatW2,19,MISunW1,19
ES King Village,ES,King Village,2931,Ligon St.,35.78844326,-78.68921814,0000FRR2247208280000005e,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RSatWaste2,107,RTueWaste1,45,RWedWaste1,44,RThrWaste1,48,RFriWaste2,75,RMonWaste2,46,MIFriW1,19,MIThrW2,21,MIFriW2,20,MIMonW1,20,MIMonW2,20,MISatW1,20,MISatW2,20,MISunW1,20
Feed Mill Education Unit,,,4001,Chi Rd.,35.735733,-78.674715,FRR24d7d1e658000000f,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RWedMR1,63,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountain Dining,Dining,Fountain,2520,Sullivan Dr.,35.78539417,-78.67768104,0000FRR2247807d350000133,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonCom1,1,RWedCom1,1,RFriComp1,1,,,,,,,,,,,,,,,,,,,,,,
Fountain Dining,Dining,Fountain,2520,Sullivan Dr.,35.78539417,-78.67768104,0000FRR224780629300000a1,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RTueOcc1,1,RThrOcc1,54,RSatOcc1,2,RMonMR1,14,RWedMR1,49,RFriMR1,1,,,,,,,,,,,,,,,,
Fountain Dining,Dining,Fountain,2520,Sullivan Dr.,35.78539417,-78.67768104,0000FRR22472082800000061,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,2,RTueWaste1,7,RWedWaste1,3,RFriWaste2,15,RSatWaste2,6,RThrWaste1,6,MIFriW1,11,MIThrW2,13,MIFriW2,21,MIMonW1,21,MIMonW2,21,MISatW1,21,MISatW2,21,MISunW1,21
Fountain Dining,Dining,Fountain,2520,Sullivan Dr.,35.78539417,-78.67768104,0000FRR224780629300000a1,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,11,RTueSpot1,48,RWedSpot1,21,RThrSpot1,30,RFriSpot1,2,RSatSpot1,46,,,,,,,,,,,,,,,,
Fountain Dining,Dining,Fountain,2520,Sullivan Dr.,35.78539417,-78.67768104,0000FRR224780629300000a1,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,31,RTueSpot1,34,RWedSpot1,2,RThrSpot1,2,RFriSpot1,3,RSatSpot1,2,,,,,,,,,,,,,,,,
Fountain Dining,Dining,Fountain,2520,Sullivan Dr.,35.78539417,-78.67768104,FRR29b49055fa0000004,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,37,RWedMR1,28,RFriMR1,36,MIFriMR2,31,MIMonMR2,49,MISatMR1,49,MISatMR2,49,MISunMR1,49,MISunMR2,49,MIThrMR1,49,MIThrMR2,49,MITueMR1,49,MITueMR2,49,MIWedMR2,49
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR2247807d350000134,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonCom1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR22472082800000062,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,16,RThrSpot1,27,RSatSpot1,40,,,,,,,,,,,,,,,,,,,,,,
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR2247807d350000134,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,23,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR224780629300000a3,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR22472082800000062,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,30,RThrSpot1,69,RSatSpot1,82,,,,,,,,,,,,,,,,,,,,,,
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR22472082800000062,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,32,RSatWaste2,51,RThrWaste2,28,,,,,,,,,,,,,,,,,,,,,,
Fox Science Teaching Lab,Fox, Science Teaching Lab,2791,Pillsbury Cir.,35.78683158,-78.6732659,0000FRR2247807d350000134,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Hall,Gardner,Hall,100,Derieux Pl.,35.78651625,-78.672712,0000FRR224780629300000a5,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,3,RWedMR1,50,RFriMR1,14,,,,,,,,,,,,,,,,,,,,,,
Gardner Hall,Gardner,Hall,100,Derieux Pl.,35.78651625,-78.672712,0000FRR22472082800000063,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RSatWaste2,173,RMonWaste1,29,RTueWaste1,31,RWedWaste1,83,RFriWaste2,38,RThrWaste2,20,,,,,,,,,,,,,,,,
Greek 1,Greek,1,2613,Fraternity Ct.,35.78082683,-78.68239156,0000FRR22472082800000064,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,9,RThrSpot1,80,RSatSpot1,20,,,,,,,,,,,,,,,,,,,,,,
Greek 1,Greek,1,2613,Fraternity Ct.,35.78082683,-78.68239156,0000FRR22472082800000064,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,39,RThrSpot1,79,RSatSpot1,62,,,,,,,,,,,,,,,,,,,,,,
Greek 1,Greek,1,2613,Fraternity Ct.,35.78082683,-78.68239156,0000FRR22472082800000064,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,40,RSatWaste2,128,RThrWaste1,57,MIFriW1,29,MIThrW2,33,MIFriW2,54,MIMonW1,54,MIMonW2,54,MISatW1,54,MISatW2,54,MISunW1,54,MISunW2,54,MIThrW1,54,MITueW1,54
Greek 1,Greek,1,2613,Fraternity Ct.,35.78082683,-78.68239156,FRR2742505b830000005,8,Yard,GREEN,DUMPSTER,DIAMONDBACK,RMonMR1,50,RWedMR1,29,RFriMR1,45,MIFriMR2,35,MIMonMR2,55,MISatMR1,55,MISatMR2,55,MISunMR1,55,MISunMR2,55,MIThrMR1,55,MIThrMR2,55,MITueMR1,55,MITueMR2,55,MIWedMR2,55
Greek 1,Greek,1,2613,Fraternity Ct.,35.78082683,-78.68239156,FRR2742505b830000005,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,67,RFriSpot1,13,RWedSpot1,59,,,,,,,,,,,,,,,,,,,,,,
Greek 1,Greek,1,2613,Fraternity Ct.,35.78082683,-78.68239156,FRR2742505b830000005,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,78,RFriSpot1,14,RWedSpot1,69,,,,,,,,,,,,,,,,,,,,,,
Greek 11,Greek,11,2701,Fraternity Ct.,35.77999605,-78.68249372,0000FRR22472082800000065,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,41,RSatWaste2,126,RThrWaste1,55,MIFriW1,30,MIThrW2,34,MIFriW2,55,MIMonW1,55,MIMonW2,55,MISatW1,55,MISatW2,55,MISunW1,55,MISunW2,55,MIThrW1,55,MITueW1,55
Greek 13-14,Greek, 13-14,2709,Fraternity Ct.,35.77866191,-78.68212578,0000FRR22472082800000066,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,42,RSatWaste2,122,RThrWaste1,56,MIFriW1,31,MIThrW2,35,MIFriW2,56,MIMonW1,56,MIMonW2,56,MISatW1,56,MISatW2,56,MISunW1,56,MISunW2,56,MIThrW1,56,MITueW1,56
Greek 13-14,Greek, 13-14,2709,Fraternity Ct.,35.77866191,-78.68212578,0000FRR224780629300000a9,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,57,RWedMR1,31,RFriMR1,47,MIFriMR2,36,MIMonMR2,56,MISatMR1,56,MISatMR2,56,MISunMR1,56,MISunMR2,56,MIThrMR1,56,MIThrMR2,56,MITueMR1,56,MITueMR2,56,MIWedMR2,56
Greek 15,Greek,15,1402,Varsity Dr.,35.77898464,-78.68424565,0000FRR22472082800000067,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RSatWaste2,129,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek 16,Greek,16,3501,Avent Ferry Rd,35.7662129,-78.7002037,FRR2742313aaf0000004,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RWedMR1,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek 16,Greek,16,3501,Avent Ferry Rd,35.7662129,-78.7002037,FRR2742313a8c0000003,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,62,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek 3,Greek,3,2511,Fraternity Ct.,35.78170145,-78.68209969,0000FRR22472082800000068,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,38,RSatWaste2,130,RThrWaste1,53,MIFriW1,28,MIThrW2,32,MIFriW2,53,MIMonW1,53,MIMonW2,53,MISatW1,53,MISatW2,53,MISunW1,53,MISunW2,53,MIThrW1,53,MITueW1,53
Greek 3,Greek,3,2511,Fraternity Ct.,35.78170145,-78.68209969,0000FRR224780629300000ac,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,56,RWedMR1,30,RFriMR1,46,MIFriMR2,34,MIMonMR2,54,MISatMR1,54,MISatMR2,54,MISunMR1,54,MISunMR2,54,MIThrMR1,54,MIThrMR2,54,MITueMR1,54,MITueMR2,54,MIWedMR2,54
Greek 7,Greek,7,2313,Fraternity Ct.,35.78041544,-78.68044568,0000FRR2247208280000006a,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,37,RSatWaste2,135,RThrWaste1,50,MIFriW1,27,MIThrW2,31,MIFriW2,52,MIMonW1,52,MIMonW2,52,MISatW1,52,MISatW2,52,MISunW1,52,MISunW2,52,MIThrW1,52,MITueW1,52
Greek 7,Greek,7,2313,Fraternity Ct.,35.78041544,-78.68044568,0000FRR224780629400000af,8,Yard,GREEN,DUMPSTER,DIAMONDBACK,RMonMR1,50,RWedMR1,29,RFriMR1,45,MIFriMR2,33,MIMonMR2,53,MISatMR1,53,MISatMR2,53,MISunMR1,53,MISunMR2,53,MIThrMR1,53,MIThrMR2,53,MITueMR1,53,MITueMR2,53,MIWedMR2,53
Greek Kappa Delta,Greek, Kappa Delta,2304,Greek Village Dr.,35.77873116,-78.6811615,0000FRR224780629400000b1,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,51,RWedMR1,32,RFriMR1,42,MIFriMR2,37,MIMonMR2,57,MISatMR1,57,MISatMR2,57,MISunMR1,57,MISunMR2,57,MIThrMR1,57,MIThrMR2,57,MITueMR1,57,MITueMR2,57,MIWedMR2,57
Greek Kappa Delta,Greek, Kappa Delta,2304,Greek Village Dr.,35.77873116,-78.6811615,0000FRR2247208280000006b,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,51,RMonWaste2,36,RSatWaste2,196,MIFriW1,32,MIThrW2,36,MIFriW2,57,MIMonW1,57,MIMonW2,57,MISatW1,57,MISatW2,57,MISunW1,57,MISunW2,57,MIThrW1,57,MITueW1,57
Greek Sigma Nu,Greek, Sigma Nu,2312,Greek Village Dr.,35.7789382,-78.68048536,0000FRR224780629400000b3,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,52,RWedMR1,33,RFriMR1,43,MIFriMR2,38,MIMonMR2,58,MISatMR1,58,MISatMR2,58,MISunMR1,58,MISunMR2,58,MIThrMR1,58,MIThrMR2,58,MITueMR1,58,MITueMR2,58,MIWedMR2,58
Greek Sigma Nu,Greek, Sigma Nu,2312,Greek Village Dr.,35.7789382,-78.68048536,0000FRR2247208280000006c,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregg Museum of Art & Design,Gregg,Museum,1903,Hillsborough St.,35.784849,-78.66177,FRR298e90585b0000006,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RFriMR1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregg Museum of Art & Design,Gregg,Museum,1903,Hillsborough St.,35.784849,-78.66177,FRR298e90585b0000005,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RFriWaste2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Grinnells Laboratory,Grinnells, Laboratory,3200,Faucette Dr,35.7838349,-78.68081244,0000FRR225ab1aead000000a,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Grinnells Laboratory,Grinnells, Laboratory,3200,Faucette Dr,35.7838349,-78.68081244,0000FRR224780629400000b5,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Grinnells Laboratory,Grinnells, Laboratory,3200,Faucette Dr,35.7838349,-78.68081244,0000FRR225ab1aead0000009,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedWaste1,51,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Hall,Harris,Hall,2831,Thurman Dr.,35.78568274,-78.67444905,0000FRR22472082800000070,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,10,RWedWaste1,34,RFriWaste2,65,RSatWaste2,185,,,,,,,,,,,,,,,,,,,,
Harris Hall,Harris,Hall,2831,Thurman Dr.,35.78568274,-78.67444905,0000FRR22472082800000070,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,53,RWedSpot1,43,RFriSpot1,67,,,,,,,,,,,,,,,,,,,,,,
Harris Hall,Harris,Hall,2831,Thurman Dr.,35.78568274,-78.67444905,0000FRR22472082800000070,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,54,RWedSpot1,40,RFriSpot1,28,,,,,,,,,,,,,,,,,,,,,,
Hillsborough Bldg,Hillsborough, Bldg,2620,Hillsborough St.,35.78853248,-78.67070042,0000FRR22472082800000071,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough Bldg,Hillsborough, Bldg,2620,Hillsborough St.,35.78853248,-78.67070042,0000FRR224780629400000bb,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough Bldg,Hillsborough, Bldg,2620,Hillsborough St.,35.78853248,-78.67070042,0000FRR224780629400000bb,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough Bldg,Hillsborough, Bldg,2620,Hillsborough St.,35.78853248,-78.67070042,0000FRR22472082800000071,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough Bldg,Hillsborough, Bldg,2620,Hillsborough St.,35.78853248,-78.67070042,0000FRR22472082800000071,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough Bldg,Hillsborough, Bldg,2620,Hillsborough St.,35.78853248,-78.67070042,0000FRR224780629400000bb,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunt Library,Hunt,Library,1070,Partners Way,35.76901292,-78.67645569,0000FRR2247806292000005c,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RTueOcc1,7,RThrOcc1,69,RMonMR1,34,RWedMR1,43,RFriMR1,33,,,,,,,,,,,,,,,,,,
Hunt Library,Hunt,Library,1070,Partners Way,35.76901292,-78.67645569,FRR24ddd1ae4c0000003,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste2,23,RTueWaste1,52,RWedWaste1,69,RThrWaste2,14,RFriWaste2,30,RSatWaste2,153,,,,,,,,,,,,,,,,
Jordan Hall,Jordan,Hall,2800,Faucette Dr.,35.78192492,-78.67669678,0000FRR22472082800000072,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedWaste1,7,RFriWaste2,63,RMonWaste2,8,,,,,,,,,,,,,,,,,,,,,,
Jordan Hall,Jordan,Hall,2800,Faucette Dr.,35.78192492,-78.67669678,0000FRR224780629400000bd,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hall Addition,Jordan,Hall Addition,2720,Faucette Dr.,35.78159565,-78.67587891,0000FRR22472082800000073,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedWaste1,8,RFriWaste2,62,RMonWaste2,9,,,,,,,,,,,,,,,,,,,,,,
Jordan Hall Addition,Jordan,Hall Addition,2720,Faucette Dr.,35.78159565,-78.67587891,0000FRR225aa03c370000002,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyner Visitor Center,Joyner, Visitor Center,1210,Varsity Dr.,35.78395181,-78.6846813,0000FRR22472082800000074,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyner Visitor Center,Joyner, Visitor Center,1210,Varsity Dr.,35.78395181,-78.6846813,0000FRR224780629400000c1,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,49,,,,,,,,,,,,,,,,,,,,,,,,,,
Keystone Science Center,Keystone,Science Center,1791,Varsity Dr.,35.77449158,-78.67713897,0000FRR224720827f0000038,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RFriWaste2,10,RTueWaste1,51,,,,,,,,,,,,,,,,,,,,,,,,
Keystone Science Center,Keystone,Science Center,1791,Varsity Dr.,35.77449158,-78.67713897,0000FRR2247806292000005e,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RWedMR1,51,,,,,,,,,,,,,,,,,,,,,,,,,,
Leazar Hall,Leazar,Hall,2230,Stinson Dr.,35.78547752,-78.665448,0000FRR22472082800000075,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,18,RTueWaste1,19,RWedWaste1,16,RThrWaste1,25,RFriWaste2,31,RSatWaste2,26,,,,,,,,,,,,,,,,
Leazar Hall,Leazar,Hall,2230,Stinson Dr.,35.78547752,-78.665448,0000FRR2248c16d53000000f,6,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedSpot1,55,,,,,,,,,,,,,,,,,,,,,,,,,,
Leazar Hall,Leazar,Hall,2230,Stinson Dr.,35.78547752,-78.665448,0000FRR2248c16d53000000f,6,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedSpot1,56,,,,,,,,,,,,,,,,,,,,,,,,,,
Leazar Hall,Leazar,Hall,2230,Stinson Dr.,35.78547752,-78.665448,0000FRR224780629400000c3,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,56,RMonMR1,5,,,,,,,,,,,,,,,,,,,,,,,,
Lee Residence Hall,Lee,Residence Hall,2530,Sullivan Dr.,35.78589875,-78.6780355,0000FRR224780629400000c5,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,1,RFriSpot1,27,RWedSpot1,74,,,,,,,,,,,,,,,,,,,,,,
Lee Residence Hall,Lee,Residence Hall,2530,Sullivan Dr.,35.78589875,-78.6780355,0000FRR22472082800000076,6,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,1,RTueWaste1,6,RWedWaste1,2,RThrWaste1,5,RFriWaste2,14,RSatWaste2,4,MIFriW1,12,MIThrW2,14,MIFriW2,22,MIMonW1,22,MIMonW2,22,MISatW1,22,MISatW2,22,MISunW1,22
Lee Residence Hall,Lee,Residence Hall,2530,Sullivan Dr.,35.78589875,-78.6780355,0000FRR224780629400000c5,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,2,RFriSpot1,4,RWedSpot1,64,,,,,,,,,,,,,,,,,,,,,,
Lee Residence Hall,Lee,Residence Hall,2530,Sullivan Dr.,35.78589875,-78.6780355,0000FRR22472082800000076,6,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,29,RTueSpot1,43,RWedSpot1,1,RThrSpot1,31,RFriSpot1,26,RSatSpot1,44,,,,,,,,,,,,,,,,
Lee Residence Hall,Lee,Residence Hall,2530,Sullivan Dr.,35.78589875,-78.6780355,0000FRR22472082800000076,6,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,30,RTueSpot1,35,RWedSpot1,20,RThrSpot1,1,RFriSpot1,1,RSatSpot1,4,,,,,,,,,,,,,,,,
Lee Residence Hall,Lee,Residence Hall,2530,Sullivan Dr.,35.78589875,-78.6780355,0000FRR224780629400000c5,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,41,RWedMR1,18,RFriMR1,2,MIFriMR2,17,MIMonMR2,23,MISatMR1,23,MISatMR2,23,MISunMR1,23,MISunMR2,23,MIThrMR1,23,MIThrMR2,23,MITueMR1,23,MITueMR2,23,MIWedMR2,23
Libraries Satellite Shelving,Libraries, Satellite Shelving,2731,Sullivan Dr.,35.78806698,-78.68421631,0000FRR22472082800000077,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Libraries Satellite Shelving,Libraries, Satellite Shelving,2731,Sullivan Dr.,35.78806698,-78.68421631,0000FRR224780629400000c7,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mann Hall,Mann, Hall,2501,Stinson Dr.,35.78516806,-78.66924133,0000FRR2247208280000007b,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,14,RThrSpot1,53,RSatSpot1,36,,,,,,,,,,,,,,,,,,,,,,
Mann Hall,Mann, Hall,2501,Stinson Dr.,35.78516806,-78.66924133,0000FRR224780629400000cd,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Mann Hall,Mann, Hall,2501,Stinson Dr.,35.78516806,-78.66924133,0000FRR2247208280000007b,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,28,RThrSpot1,56,RSatSpot1,78,,,,,,,,,,,,,,,,,,,,,,
